transaction_id,product_id,product_name,product_qty,product_total_price
253,99,Parmesan Reggiano (30 months),1,$25.00
253,109,Fine English Oatcakes,1,$7.00
253,119,Fig Crackers,1,$7.00
253,172,King Island Roaring Forties Blue Cheese,1,$20.00
253,174,Cartwright and Butler Cheese Wafers,1,$6.00
256,79,Waterloo,1,$32.00
256,84,Cornish Blue,1,$20.00
256,86,Cornish Yarg,1,$30.00
256,90,Brie de Meaux AOC,1,$32.00
256,96,Camembert de Normandie (AOC),2,$20.00
256,164,Fine Cheese Co. Cheddar (400g),1,$16.00
256,181,Roquefort Société,1,$20.00
256,193,Perl Wen,1,$10.00
257,85,Reypenaer V.S.O.P. Gouda,1,$25.00
257,88,Wigmore,1,$9.00
257,180,Grana Padano,1,$18.75
257,208,Montgomery's Cheddar,1,$20.00
258,83,Colston Basset Shropshire,1,$17.50
258,86,Cornish Yarg,1,$20.00
258,174,Cartwright and Butler Cheese Wafers,1,$6.00
258,210,Roquefort Papillon,1,$25.00
259,88,Wigmore,1,$39.00
259,100,St Maure de Touraine,4,$80.00
259,175,Quince Paste for Cheese,2,$15.00
260,96,Camembert de Normandie (AOC),3,$30.00
261,99,Parmesan Reggiano (30 months),2,$70.00
261,187,Comte Extra Mature (12 Months),2,$35.00
262,98,Comté Marcel Petite,1,$18.00
262,180,Grana Padano,1,$18.75
262,192,Petit Munster,1,$11.00
262,208,Montgomery's Cheddar,1,$20.00
263,94,Morbier,1,$15.00
263,97,Von Mühlenen Premier Cru Gruyère,1,$20.00
263,98,Comté Marcel Petite,1,$18.00
263,181,Roquefort Société,1,$20.00
263,182,Epoisses AOC (prepacked truckle 250g),2,$34.00
263,189,Vacherin Mont D'or,2,$40.00
264,83,Colston Basset Shropshire,1,$17.50
264,86,Cornish Yarg,1,$35.00
264,96,Camembert de Normandie (AOC),4,$40.00
264,178,Barbers 1833 Vintage Reserve Cheddar,1,$20.00
266,182,Epoisses AOC (prepacked truckle 250g),1,$17.00
266,185,Manchego,1,$18.00
267,96,Camembert de Normandie (AOC),2,$20.00
267,100,St Maure de Touraine,2,$26.00
268,182,Epoisses AOC (prepacked truckle 250g),1,$17.00
269,94,Morbier,1,$15.00
269,184,Raclette,1,$30.00
269,189,Vacherin Mont D'or,1,$20.00
270,98,Comté Marcel Petite,1,$18.00
270,99,Parmesan Reggiano (30 months),1,$35.00
270,104,Olive Oil and Sea Salt Crackers,1,$7.00
270,113,Chive Crackers,1,$7.00
270,115,Red Hot Chilli Crackers,1,$7.00
270,130,Mondovino Moroccan Seed & Nut Crackers,1,$7.00
270,131,Mondovino Porcini Mushroom Crackers ,1,$7.00
271,97,Von Mühlenen Premier Cru Gruyère,1,$20.00
271,104,Olive Oil and Sea Salt Crackers,1,$7.00
272,96,Camembert de Normandie (AOC),1,$18.00
272,104,Olive Oil and Sea Salt Crackers,1,$7.00
272,113,Chive Crackers,1,$7.00
272,178,Barbers 1833 Vintage Reserve Cheddar,1,$13.00
272,181,Roquefort Société,1,$20.00
274,175,Quince Paste for Cheese,2,$15.00
274,183,Lancashire Bomb,2,$46.00
275,109,Fine English Oatcakes,1,$7.00
275,177,Dambuster Mature Farmhouse Cheddar (200g),2,$24.00
275,185,Manchego,1,$18.00
275,187,Comte Extra Mature (12 Months),1,$17.50
275,188,King Cut Gruyere,1,$18.00
276,94,Morbier,1,$15.00
276,177,Dambuster Mature Farmhouse Cheddar (200g),1,$12.00
276,185,Manchego,1,$18.00
278,177,Dambuster Mature Farmhouse Cheddar (200g),5,$32.50
278,178,Barbers 1833 Vintage Reserve Cheddar,1,$23.00
279,90,Brie de Meaux AOC,1,$32.00
279,91,Wookey Hole Cave Aged Cheddar,1,$15.00
279,96,Camembert de Normandie (AOC),1,$18.00
279,98,Comté Marcel Petite,1,$18.00
279,187,Comte Extra Mature (12 Months),1,$17.50
279,190,Golden Cenarth,1,$20.00
284,183,Lancashire Bomb,3,$69.00
285,90,Brie de Meaux AOC,1,$8.00
285,125,Fine Cheese Co. Cheddar (200g),1,$12.00
285,174,Cartwright and Butler Cheese Wafers,2,$12.00
285,181,Roquefort Société,1,$20.00
286,96,Camembert de Normandie (AOC),1,$10.00
286,164,Fine Cheese Co. Cheddar (400g),1,$15.00
287,96,Camembert de Normandie (AOC),1,$10.00
287,164,Fine Cheese Co. Cheddar (400g),1,$15.00
288,96,Camembert de Normandie (AOC),1,$10.00
288,164,Fine Cheese Co. Cheddar (400g),1,$15.00
289,96,Camembert de Normandie (AOC),1,$10.00
289,164,Fine Cheese Co. Cheddar (400g),1,$15.00
290,96,Camembert de Normandie (AOC),1,$10.00
290,164,Fine Cheese Co. Cheddar (400g),1,$15.00
291,96,Camembert de Normandie (AOC),1,$10.00
291,164,Fine Cheese Co. Cheddar (400g),1,$15.00
292,96,Camembert de Normandie (AOC),1,$10.00
292,122,Quince Paste,1,$9.00
292,164,Fine Cheese Co. Cheddar (400g),1,$15.00
293,96,Camembert de Normandie (AOC),1,$10.00
293,104,Olive Oil and Sea Salt Crackers,1,$7.00
293,113,Chive Crackers,1,$7.00
293,164,Fine Cheese Co. Cheddar (400g),1,$15.00
294,90,Brie de Meaux AOC,2,$20.00
294,96,Camembert de Normandie (AOC),2,$20.00
294,164,Fine Cheese Co. Cheddar (400g),2,$30.00
295,86,Cornish Yarg,1,$10.00
